3	false	حكم الوقف الذري ( وقف القرآة ) في قضاء محكمة النقض اليمنية اصدرت دائرة الأحوال الشخصية بالمحكمة العليا في جلستها المنعقدة بتاريخ10/10/1999م، في الطعن بالنقض رقم (372) لسنة1420هـ والذي أرسا مبدأً عاماً مفاده (أن الوقف الخ
13	false	مادة(15) من قانون الاثبات اليمني :  لا تسمع الدعوى بملك المؤرث إلاَّ بذكر  موته مالكاً أو ذايد .  .........................................  ) مَسْأَلَةٌ ( وَلَا تَصِحُّ الدَّعْوَى عَلَى الْوَارِثِ إلَّا بَعْدَ صِحَّةِ م
15	false	ضي الصلح والشركاء الذين لبوا الدعوة إلى المحل المطلوب تقسيمه .. بحضور أولئك الشركاء والهيئة الإختيارية أو بمواجهة أثنين من الأهالي .. وحيث أن محكمة الموضوع قررت إجراء لخبرة بدون إنتقال المحكمة للعقار موضوع الدعوى وفقاً ل
98	false	معلومةقانونية🔖⚖ ●حقوق المطلقة:- 1- مؤخر الصداق (المثبت فى عقد الزواج أو بشهادة الشهود). 2- نفقة المتعة (تقدر بنفقة 24 شهر من النفقة الشهرية كحد أدنى). 3- نفقة العدة ( تقدر بنفقة 3 شهور من النفقة الشهرية). (ويترتب على وجو
99	false	الضرب والإيذاء في القانون  إعداد: د. نادر عبد العزيز شافي  محامٍ بالاستئناف الإيذاء في القانون هو اعتداء مقصود أو غير مقصود على حق الإنسان في سلامة جسمه، ينتج عنه أذى جسدي. قد يكون الأذى بسيطًا، وقد يُسبّب تعطيلًا، أو ين
100	false	وات على الأكثر (557 عقوبات). ويعتبر عاهة دائمة: بتر اليد أو الساق أو العجز الذي يصيبهما فيتعطلان عن العمل، أو فقدان حاسة من الحواس كالبصر أو السمع أو القدرة على الكلام، أو الاصابة بشلل في بعض الأعضاء أو كلها، أو إحداث تش
165	false	💡💡  إضاءة قانونية     المحامي عبدالوهاب جرعم  💡💡    مقرر في الشريعة الإسلامية والقانون اليمني " شخصية الجريمة والمسئولية الجزائية والعقوبة " .  ألا يكون الشخص مسئولا جنائيا الا في حدود ما ارتكب من الافعال او الامتناعات ا
167	false	💡💡  إضاءة قانونية     💡💡    الاصل ان القانون لا يجيز رد الشاهد الا في حالتين هما: الاولى والتي قررها المشرع في  في المادة (٢٧) اثبات والتي تنص على مايلي: ) كل شهادة تضمنت جر مغنم للشاهد او دفع مغرم عنه ترد(.اذ يجب ان تنص
169	false	من اخلاقيات محام: من اخلاقيات المحاماة انه يجب على المحامي ان يحفظ زملائه في المهنة  كافة في غيابهم وحضورهم  ومن تطبيقات هذا المبدأ ان على المحامي الالتزام بالمبادئ التالية: 1- ان يقصر مبارزاته القانونية مع زميله المحامي
172	false	ثمانية عشر دفعا جنائيا في التفتيش: ====================== · الدفع الأول: بطلان اذن التفتيش لعدم تسبيبه · الدفع الثاني: بطلان اذن التفتيش لعدم اشتماله على البيانات التي أوجبها القانون. · الدفع الثالث: بطلان اذن التفتيش لع
